model,dataset,n,n_positive,n_negative,tp,tn,fp,fn,recall,specificity,precision,mcc
M0,br_only,504,377,127,347,38,89,30,0.9204244031830239,0.2992125984251969,0.7958715596330275,0.27911317747995884
M2_gnomad_only,br_only,504,377,127,318,58,69,59,0.843501326259947,0.4566929133858268,0.8217054263565892,0.30869278334458705
M4_dynamic_gated,br_only,504,377,127,330,53,74,47,0.8753315649867374,0.41732283464566927,0.8168316831683168,0.31859349963726635
M5_dynamic_gated,br_only,504,377,127,368,76,51,9,0.9761273209549072,0.5984251968503937,0.8782816229116945,0.6661711081340419
M7_dynamic_scrambled,br_only,504,377,127,316,58,69,61,0.8381962864721485,0.4566929133858268,0.8207792207792208,0.3014585162043642
M5_v2_calibrated,br_only,504,377,127,375,58,69,2,0.9946949602122016,0.4566929133858268,0.8445945945945946,0.6051392365837596
M0,br_any,564,427,137,388,42,95,39,0.9086651053864169,0.30656934306569344,0.8033126293995859,0.2631903296416165
M2_gnomad_only,br_any,564,427,137,358,64,73,69,0.8384074941451991,0.46715328467153283,0.8306264501160093,0.3086792055401376
M4_dynamic_gated,br_any,564,427,137,371,59,78,56,0.8688524590163934,0.4306569343065693,0.8262806236080178,0.31879579026488053
M5_dynamic_gated,br_any,564,427,137,413,83,54,14,0.9672131147540983,0.6058394160583942,0.8843683083511777,0.6512149296326203
M7_dynamic_scrambled,br_any,564,427,137,354,64,73,73,0.8290398126463701,0.46715328467153283,0.8290398126463701,0.2961930973179029
M5_v2_calibrated,br_any,564,427,137,424,63,74,3,0.9929742388758782,0.45985401459854014,0.8514056224899599,0.6041170570342913
M0,regional_benchmark_any,3111,1782,1329,1626,802,527,156,0.9124579124579124,0.6034612490594432,0.7552252670692058,0.5528320703692552
M2_gnomad_only,regional_benchmark_any,3111,1782,1329,1511,960,369,271,0.8479236812570146,0.7223476297968398,0.8037234042553192,0.5768858851568786
M4_dynamic_gated,regional_benchmark_any,3111,1782,1329,1552,935,394,230,0.8709315375982043,0.7035364936042137,0.7975334018499486,0.587148323472843
M5_dynamic_gated,regional_benchmark_any,3111,1782,1329,1732,816,513,50,0.9719416386083053,0.6139954853273137,0.7714922048997773,0.6466960922185009
M7_dynamic_scrambled,regional_benchmark_any,3111,1782,1329,1492,976,353,290,0.8372615039281706,0.7343867569601203,0.8086720867208672,0.575612463305959
M5_v2_calibrated,regional_benchmark_any,3111,1782,1329,1772,609,720,10,0.9943883277216611,0.4582392776523702,0.7110754414125201,0.5608387781748854
M0,abraom_common_benign,12099,0,12099,0,9713,2386,0,,0.8027936193073808,0.0,0.0
M2_gnomad_only,abraom_common_benign,12099,0,12099,0,10695,1404,0,,0.8839573518472601,0.0,0.0
M4_dynamic_gated,abraom_common_benign,12099,0,12099,0,10519,1580,0,,0.8694106950987684,0.0,0.0
M5_dynamic_gated,abraom_common_benign,12099,0,12099,0,12073,26,0,,0.9978510620712455,0.0,0.0
M7_dynamic_scrambled,abraom_common_benign,12099,0,12099,0,10754,1345,0,,0.8888337879163567,0.0,0.0
M5_v2_calibrated,abraom_common_benign,12099,0,12099,0,11597,502,0,,0.9585089676832796,0.0,0.0
M0,abraom_pathogenic_present,163,163,0,68,0,0,95,0.4171779141104294,,1.0,0.0
M2_gnomad_only,abraom_pathogenic_present,163,163,0,52,0,0,111,0.31901840490797545,,1.0,0.0
M4_dynamic_gated,abraom_pathogenic_present,163,163,0,56,0,0,107,0.34355828220858897,,1.0,0.0
M5_dynamic_gated,abraom_pathogenic_present,163,163,0,6,0,0,157,0.03680981595092025,,1.0,0.0
M7_dynamic_scrambled,abraom_pathogenic_present,163,163,0,51,0,0,112,0.3128834355828221,,1.0,0.0
M5_v2_calibrated,abraom_pathogenic_present,163,163,0,71,0,0,92,0.43558282208588955,,1.0,0.0
M0,abraom_pathogenic_common,60,60,0,22,0,0,38,0.36666666666666664,,1.0,0.0
M2_gnomad_only,abraom_pathogenic_common,60,60,0,15,0,0,45,0.25,,1.0,0.0
M4_dynamic_gated,abraom_pathogenic_common,60,60,0,17,0,0,43,0.2833333333333333,,1.0,0.0
M5_dynamic_gated,abraom_pathogenic_common,60,60,0,0,0,0,60,0.0,,,0.0
M7_dynamic_scrambled,abraom_pathogenic_common,60,60,0,16,0,0,44,0.26666666666666666,,1.0,0.0
M5_v2_calibrated,abraom_pathogenic_common,60,60,0,12,0,0,48,0.2,,1.0,0.0
M0,global_nonbr_no_abraom,1989,1348,641,1237,349,292,111,0.9176557863501483,0.5444617784711389,0.8090255068672335,0.5122049585015879
M2_gnomad_only,global_nonbr_no_abraom,1989,1348,641,1152,436,205,196,0.8545994065281899,0.6801872074882995,0.8489314664701547,0.5367919891656469
M4_dynamic_gated,global_nonbr_no_abraom,1989,1348,641,1180,423,218,168,0.8753709198813057,0.6599063962558502,0.844062947067239,0.5474008583293484
M5_dynamic_gated,global_nonbr_no_abraom,1989,1348,641,1319,183,458,29,0.978486646884273,0.28549141965678626,0.7422622397298818,0.399788373636363
M7_dynamic_scrambled,global_nonbr_no_abraom,1989,1348,641,1137,448,193,211,0.8434718100890207,0.6989079563182528,0.8548872180451128,0.538528773819855
M5_v2_calibrated,global_nonbr_no_abraom,1989,1348,641,931,541,100,417,0.6906528189910979,0.84399375975039,0.9030067895247332,0.50006754101164
