dataset,left_model,right_model,score_corr,mean_abs_score_diff,p95_abs_score_diff,prediction_agreement
br_only,M4_dynamic_gated,M7_dynamic_scrambled,0.9969764421781162,0.010121699481729477,0.028303697705268853,0.9623015873015873
br_only,M2_gnomad_only,M4_dynamic_gated,0.996793300102186,0.00926545447122956,0.02544467747211456,0.9662698412698413
br_only,M2_gnomad_only,M7_dynamic_scrambled,0.9971406176164819,0.00940164097303909,0.026295618712902057,0.9841269841269841
br_only,M7_dynamic_scrambled,M5_v2_calibrated,0.7281969624123518,0.08586618298592123,0.36807742295594126,0.7797619047619048
br_any,M4_dynamic_gated,M7_dynamic_scrambled,0.9968009592555104,0.010178579559140172,0.029075230658054372,0.9609929078014184
br_any,M2_gnomad_only,M4_dynamic_gated,0.9967817439479073,0.009289347705371837,0.02491247653961182,0.9680851063829787
br_any,M2_gnomad_only,M7_dynamic_scrambled,0.9970830541051751,0.00939730186253152,0.025882899761199958,0.9822695035460993
br_any,M7_dynamic_scrambled,M5_v2_calibrated,0.7363935879887342,0.0853203231063825,0.3637548963200269,0.774822695035461
regional_benchmark_any,M4_dynamic_gated,M7_dynamic_scrambled,0.9980321493695461,0.010613969936416065,0.02945578098297119,0.9668916747026679
regional_benchmark_any,M2_gnomad_only,M4_dynamic_gated,0.9979428494640906,0.00981499307870635,0.028790444135665894,0.9717132754741241
regional_benchmark_any,M2_gnomad_only,M7_dynamic_scrambled,0.9982553778395676,0.009848381783926996,0.027728214859962463,0.9816779170684667
regional_benchmark_any,M7_dynamic_scrambled,M5_v2_calibrated,0.8802056762809878,0.0767090340286687,0.2624444630406787,0.7315975570556091
abraom_common_benign,M4_dynamic_gated,M7_dynamic_scrambled,0.9964748043437676,0.010950415239633434,0.03141589909791947,0.9794197867592364
abraom_common_benign,M2_gnomad_only,M4_dynamic_gated,0.9967921660678454,0.010633487525025876,0.02947901487350464,0.982312587817175
abraom_common_benign,M2_gnomad_only,M7_dynamic_scrambled,0.9969521573662663,0.010490775790645303,0.029379767179489154,0.989668567650219
abraom_common_benign,M7_dynamic_scrambled,M5_v2_calibrated,0.7273974248506955,0.13232398234055612,0.40222256166604753,0.9030498388296554
abraom_pathogenic_present,M4_dynamic_gated,M7_dynamic_scrambled,0.996210115452219,0.01195707652100756,0.02991848886013031,0.9693251533742331
abraom_pathogenic_present,M2_gnomad_only,M4_dynamic_gated,0.996359527414456,0.010459751713495313,0.026927882432937627,0.9754601226993865
abraom_pathogenic_present,M2_gnomad_only,M7_dynamic_scrambled,0.9959934455592441,0.011186318163491466,0.02873775064945221,0.9693251533742331
abraom_pathogenic_present,M7_dynamic_scrambled,M5_v2_calibrated,0.7765832228923472,0.15437320889500494,0.32965130458270286,0.7791411042944786
abraom_pathogenic_common,M4_dynamic_gated,M7_dynamic_scrambled,0.9953522348723379,0.01278468370437622,0.03272496461868286,0.9833333333333333
abraom_pathogenic_common,M2_gnomad_only,M4_dynamic_gated,0.9964189128403902,0.011208163201808929,0.026129958033561693,0.9666666666666667
abraom_pathogenic_common,M2_gnomad_only,M7_dynamic_scrambled,0.9955341104122525,0.011606704195340474,0.02941590249538418,0.9833333333333333
abraom_pathogenic_common,M7_dynamic_scrambled,M5_v2_calibrated,0.6807844491839731,0.18315572486432377,0.37877547435647446,0.8333333333333334
global_nonbr_no_abraom,M4_dynamic_gated,M7_dynamic_scrambled,0.9971684593672475,0.01092078669353488,0.0308674573898315,0.9648064353946707
global_nonbr_no_abraom,M2_gnomad_only,M4_dynamic_gated,0.9970687930536201,0.009809214765999172,0.02969429492950438,0.9703368526897939
global_nonbr_no_abraom,M2_gnomad_only,M7_dynamic_scrambled,0.997538148048365,0.010070291122579886,0.02870442867279052,0.9793866264454499
global_nonbr_no_abraom,M7_dynamic_scrambled,M5_v2_calibrated,0.9829540356326163,0.06989699170600235,0.15810295343399047,0.8486676721970839
