rank,run_id,label,model_version,head,aux,score,best_step,steps,training_tokens,class,artifact
1,beat-v7-20k-context-pyramid-lr125-llrd085-seed0,v7 context pyramid lr125 llrd085,beat-v7,context-pyramid,phylo-structure,0.5319731135771724,19932,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-20k-context-pyramid-lr125-llrd085-seed0/human/functional
2,beat-v7-20k-global-context-standalone-lr125-llrd085-seed0,v7 global context standalone lr125 llrd085,beat-v7,global-context,phylo-structure,0.5226819204066193,19932,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-20k-global-context-standalone-lr125-llrd085-seed0/human/functional
3,beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0,v7 aggressive moderate lr125 llrd085,beat-v7,mlp,phylo-structure,0.5142397990947252,19000,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-20k-aggressive-moderate-lr125-llrd085-seed0/human/functional
4,beat-v7-20k-aggressive-deep-llrd09-seed0,v7 aggressive deep llrd09,beat-v7,mlp,phylo-structure,0.5137167726246545,18500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-20k-aggressive-deep-llrd09-seed0/human/functional
5,beat-v7-20k-aggressive-backbone-ema-seed0,v7 aggressive backbone ema,beat-v7,mlp,phylo-structure,0.508079402476854,19932,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-20k-aggressive-backbone-ema-seed0/human/functional
6,beat-v7-ft-recipe-a-bio-readout-seed0,v7 ft recipe a bio readout,beat-v7,mlp,phylo-structure,0.5072672612521515,39864,39864,41800433664,extended exploration,artifacts/analysis/ntv3_recent/beat-v7-ft-recipe-a-bio-readout-seed0/human/functional
7,beat-v7-gated-hybrid-phylo-structure-seed0,v7 gated hybrid phylo structure,beat-v7,gated-hybrid,phylo-structure,0.48528144817113095,17500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-gated-hybrid-phylo-structure-seed0/human/functional
8,beat-v7-bio-readout-phylo-structure-mlp-seed0,v7 bio readout phylo structure mlp,beat-v7,mlp,phylo-structure,0.4841099094206386,19500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-bio-readout-phylo-structure-mlp-seed0/human/functional
9,beat-v7-multiscale-dilated-noresume-seed0,v7 multiscale dilated noresume,beat-v7,multi-scale-dilated,phylo-structure,0.48337147558334115,19500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-multiscale-dilated-noresume-seed0/human/functional
10,beat-v7-mlp-head-seed0,v7 mlp head,beat-v7,mlp,none,0.482298192417342,17500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-mlp-head-seed0/human/functional
11,beat-v7-local-conv-head-k15-seed0,v7 local conv head k15,beat-v7,local-conv,none,0.47225537576728,17500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-local-conv-head-k15-seed0/human/functional
12,ntv3-beat-v7-official-human-functional-seed0-r2,v7 official human func r2,beat-v7,linear,none,0.4614521841197114,19500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/ntv3-beat-v7-official-human-functional-seed0-r2/human/functional
13,beat-v7-official-hidden-repro-seed0,v7 official hidden repro,beat-v7,linear,none,0.4604545546372252,17500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v7-official-hidden-repro-seed0/human/functional
14,ntv3-beat-v6-official-human-functional-seed0-r2,v6 official human func r2,beat-v6,linear,none,0.42446572513952086,17500,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/ntv3-beat-v6-official-human-functional-seed0-r2/human/functional
15,beat-v5-dec-coupled,v5 dec coupled,beat-v5,linear,none,0.24504309604462093,19932,19932,20900216832,full local run,artifacts/analysis/ntv3_recent/beat-v5-dec-coupled/human/functional
16,ntv3-beat-v5-val-b12-seed42,v5 val b12,beat-v5,linear,none,0.005834878395440791,10,10,327680,operational smoke/probe,artifacts/analysis/ntv3_recent/ntv3-beat-v5-val-b12-seed42/human/functional
17,ntv3-beat-v5-val-13b-seed42,v5 val 13b,beat-v5,linear,none,0.0031054246526375827,10,10,327680,operational smoke/probe,artifacts/analysis/ntv3_recent/ntv3-beat-v5-val-13b-seed42/human/functional
18,ntv3-beat-v5-val-13c-seed42,v5 val 13c,beat-v5,linear,none,0.0031054246526375827,10,10,327680,operational smoke/probe,artifacts/analysis/ntv3_recent/ntv3-beat-v5-val-13c-seed42/human/functional
19,beat-v5-dec-coupled-smoke-nosync,v5 dec coupled smoke nosync,beat-v5,linear,none,-0.00035814797339413473,2,2,2097152,operational smoke/probe,artifacts/analysis/ntv3_recent/beat-v5-dec-coupled-smoke-nosync/human/functional
